ACTSTART,DATE,TITLE,ARTIST,ACTDUR,
"07:01:10","09/19/16","Move","Passion (feat. Kristian Stanfill)                           ","00:00:09",""
"07:01:54","09/19/16","bluesCountry_vakarinis","                                                            ","00:00:01",""
"07:04:42","09/19/16","futbolas, kitaip, fonas","The High Divers                                             ","00:00:01",""
"07:04:42","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:00:01",""
"07:04:42","09/19/16","futbolas kitaip fonas tst2","The High Divers                                             ","01:06:41",""
"07:04:42","09/19/16","futbolas kitaip fonas tst2","The High Divers                                             ","04:06:41",""
"07:04:54","09/19/16","Nauja diena ILGAS","                                                            ","00:00:14",""
"07:05:05","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:00:42",""
"07:05:39","09/19/16","Draw Me Close","Mikeschair                                                  ","00:03:46",""
"07:09:22","09/19/16","So Good to Me","Newsboys                                                    ","00:03:35",""
"07:12:54","09/19/16","I belong to God PERLAS","                                                            ","00:04:24",""
"07:17:15","09/19/16","REKLAMA CUT","","00:00:05",""
"07:17:20","09/19/16","Vaiku linijos radijo klipas savanoriu kvietimui 2016 08","                                                            ","00:00:30",""
"07:17:50","09/19/16","Lengva Keliauti","                                                            ","00:00:11",""
"07:18:01","09/19/16","KR Limpa Nelimpa","                                                            ","00:00:15",""
"07:18:17","09/19/16","xfm short female","                                                            ","00:00:04",""
"07:18:21","09/19/16","Move","Passion (feat. Kristian Stanfill)                           ","00:02:56",""
"07:21:14","09/19/16","Nauja diena trumpas","                                                            ","00:00:07",""
"07:21:18","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:00:40",""
"07:21:56","09/19/16","My Beloved","","00:04:23",""
"07:26:16","09/19/16","God Is Still God","","00:03:33",""
"07:27:20","09/19/16","","                                                            ","00:00:20",""
"07:27:44","09/19/16","","                                                            ","01:06:41",""
"07:28:00","09/19/16","","                                                            ","00:00:01",""
"07:28:03","09/19/16","","                                                            ","00:00:03",""
"07:28:28","09/19/16","","                                                            ","00:00:03",""
"07:29:47","09/19/16","MSA_2016-09-19","                                                            ","00:02:06",""
"07:31:53","09/19/16","xfm short female","                                                            ","00:00:05",""
"07:31:57","09/19/16","Trumpos naujienos","                                                            ","00:01:17",""
"07:33:03","09/19/16","When I'm With You","","00:03:33",""
"07:34:16","09/19/16","BE_2016-09-19","                                                            ","00:00:18",""
"07:34:52","09/19/16","BE_2016-09-19","                                                            ","00:00:05",""
"07:36:34","09/19/16","Nauja diena trumpas","                                                            ","00:00:07",""
"07:36:38","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:01:30",""
"07:38:05","09/19/16","One Step Away","","00:03:37",""
"07:41:39","09/19/16","Do Everything","","00:03:49",""
"07:45:25","09/19/16","REKLAMA CUT","","00:00:05",""
"07:45:30","09/19/16","Raimis Kukuruzu Labirintas","                                                            ","00:00:18",""
"07:45:48","09/19/16","Laineva.LT","                                                            ","00:00:10",""
"07:45:58","09/19/16","Izraelis","                                                            ","00:01:05",""
"07:47:03","09/19/16","xfm short female","                                                            ","00:00:04",""
"07:47:07","09/19/16","Breathe","","00:03:29",""
"07:50:37","09/19/16","Nauja diena trumpas","                                                            ","00:00:07",""
"07:50:41","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:02:52",""
"07:53:30","09/19/16","Beyond Me","","00:03:15",""
"07:56:42","09/19/16","tobyMac - Backseat Driver (feat. Tru & Hollyn)","","00:03:21",""
"08:00:00","09/19/16","su jumis - valandinis","                                                            ","00:00:12",""
"08:00:11","09/19/16","Zinios 3 Pozityvios ir Ilgos","                                                            ","00:03:23",""
"08:03:30","09/19/16","Because He Lives (Amen)","JEFF DEYO                                                   ","00:03:17",""
"08:06:47","09/19/16","Nauja diena trumpas","                                                            ","00:00:07",""
"08:06:51","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:05:50",""
"08:07:20","09/19/16","interviu su Juliumi Sasnausku","                                                            ","00:04:59",""
"08:12:38","09/19/16","Drops In the Ocean","","00:03:22",""
"08:15:56","09/19/16","Sum of Beautiful","CHRIS TOMLIN                                                ","00:04:19",""
"08:20:12","09/19/16","REKLAMA CUT","","00:00:05",""
"08:20:17","09/19/16","MR 03","                                                            ","00:00:18",""
"08:20:35","09/19/16","Griauname.LT","                                                            ","00:00:09",""
"08:20:44","09/19/16","xfm short female","                                                            ","00:00:04",""
"08:20:48","09/19/16","...neverending...","CASTING CROWNS                                              ","00:02:51",""
"08:23:39","09/19/16","You Never Let Go","Crowder                                                     ","00:04:42",""
"08:28:18","09/19/16","Nauja diena trumpas","                                                            ","00:00:07",""
"08:28:21","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:02:40",""
"08:30:56","09/19/16","From God Above","Crowder                                                     ","00:03:15",""
"08:34:07","09/19/16","BE_2016-09-19","                                                            ","",""
"08:34:25","09/19/16","paletes dzinglas","                                                            ","00:00:05",""
"08:34:29","09/19/16","kulturos paletes fonas","                                                            ","00:02:20",""
"08:36:43","09/19/16","xfm short female","                                                            ","00:00:04",""
"08:36:47","09/19/16","Here for a Reason","JEREMY CAMP                                                 ","00:02:56",""
"08:39:43","09/19/16","Yours","Crowder                                                     ","00:03:24",""
"08:43:04","09/19/16","Nauja diena trumpas","                                                            ","00:00:07",""
"08:43:08","09/19/16","futbolas kitaip fonas","The High Divers                                             ","00:01:42",""
"08:44:45","09/19/16","I Am Not Alone (Radio Version)","JEREMY CAMP                                                 ","00:03:54",""
"08:48:36","09/19/16","REKLAMA CUT","","00:00:05",""
"08:48:41","09/19/16","Reklamos forma","                                                            ","00:00:38",""
"08:49:12","09/19/16","","                                                            ","00:00:01",""
"08:49:18","09/19/16","","                                                            ","00:00:04",""
"08:49:19","09/19/16","Nickas","                                                            ","00:00:33",""
"08:49:52","09/19/16","Izraelis","                                                            ","00:01:02",""
"08:50:10","09/19/16","","Unitytm                                                     ","00:00:01",""
"08:50:54","09/19/16","xfm short female","                                                            ","00:00:05",""
"08:50:59","09/19/16","3 Minute Song","Lincoln Brewster                                            ","00:02:59",""
"08:53:55","09/19/16","Nauja diena trumpas","                                                            ","00:00:07",""
"08:53:59","09/19/16","Reklama Rami","                                                            ","00:04:23",""
"08:58:19","09/19/16","King of Glory","Chris Tomlin                                                ","00:03:05",""
"09:01:21","09/19/16","su jumis - valandinis","                                                            ","00:00:12",""
"09:01:31","09/19/16","Zinios 3 Pozityvios ir Ilgos","                                                            ","00:04:13",""
"09:04:14","09/19/16","pazink save 1","                                                            ","00:00:16",""
"09:04:37","09/19/16","pazink save 2","                                                            ","00:00:16",""
"09:05:40","09/19/16","Soul on Fire","JONNY DIAZ                                                  ","00:03:12",""
"09:08:49","09/19/16","Day One","Jesus Culture/Kim Walker-Smith                              ","00:03:28",""
"09:12:14","09/19/16","Nauja diena Ilgas vyras","                                                            ","00:00:13",""
"09:12:25","09/19/16","Reklama Rami","                                                            ","00:02:30",""
"09:14:29","09/19/16","matt","Matt Redman                                                 ","00:04:51",""
"09:19:17","09/19/16","REKLAMA CUT","","00:00:06",""
"09:19:23","09/19/16","Vakaro Zvaigzdeles Prenumerata","                                                            ","00:00:16",""
"09:19:39","09/19/16","Kauno R Danielius","                                                            ","00:00:21",""
